event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR208803,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),Military Forces of Ukraine (2019-) National Guard,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Kharkiv,Iziumskyi,Borivska,Nova Kruhliakivka,49.4758,37.7203,2,Ministry of Defence of Russia,Regional,"On 21 February 2025, Russian military forces hit (likely by artillery as the most common event) multiple Ukrainian units, including national guard (coded here), some near Nova Kruhliakivka, Kharkiv. According to Russian sources, the Ukrainian military lost up to 200 soldiers near Topoli, Kindrashivka, Holubivka, Nova Kruhliakivka, Borova, Shyikivka, Yampil and Serebrianka forestry [Russian MoD reported 200 fatalities. Coded as 10 fatalities across 8 events. 1 fatality coded here].",1,,1740511209
UKR208846,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Sumy,Sumskyi,Krasnopilska,Stepok,50.8508,35.3941,1,Ministry of Defence of Ukraine,Other,"On 21 February 2025, Russian forces hit Stepok, Sumy, presumably with a bomber-drone. Casualties unknown.",0,,1740511210
UKR208552,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Kharkiv,Iziumskyi,Borivska,Borova,49.3777,37.6214,2,Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-Regional,"On 21 February 2025, Russian air forces struck multiple Ukrainian units, including national guard (coded to Nova Kruhliakivka), some near Borova, Kharkiv. According to Russian sources, the Ukrainian military lost up to 200 soldiers near Topoli, Kindrashivka, Holubivka, Nova Kruhliakivka, Borova, Shyikivka Yampil and Serebrianka forestry [Russian MoD reported 200 fatalities. Coded as 10 fatalities across 8 events. 1 fatality coded here].",1,,1740519992
UKR208618,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Kostiantynivska,Kostiantynivka,48.5333,37.7166,2,Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-Regional,"On 21 February 2025, Russian air forces struck multiple Ukrainian units, including International legion (coded to Chasiv Yar), some near Kostiantynivka, Donetsk. According to Russian sources, the Ukrainian military lost up to 220 soldiers near Siversk, Riznykivka, Slovyansk, Vasyukivka, Kramatorsk, Novomarkove, Bilokuzmynivka, Chasiv Yar, Stupochky, Kostiantynivka, Ulakly [Russian MoD reported 220 fatalities. Coded as 10 fatalities across 11 events. 1 fatality coded here].",1,,1740519992
UKR208625,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Kramatorska,Kramatorsk,48.7306,37.5816,2,Ministry of Defence of Russia,Regional,"On 21 February 2025, Russian air forces struck multiple Ukrainian units, including international legion (coded to Chasiv Yar), some near Kramatorsk, Donetsk. According to Russian sources, the Ukrainian military lost up to 220 soldiers near Siversk, Riznykivka, Slovyansk, Vasyukivka, Kramatorsk, Novomarkove, Bilokuzmynivka, Chasiv Yar, Stupochky, Kostiantynivka, Ulakly [Russian MoD reported 220 fatalities. Coded as 10 fatalities across 11 events. 1 fatality coded here].",1,,1740519992
UKR208657,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),Military Forces of Ukraine (2019-) Marines,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Myrnohradska,Myrnohrad,48.2959,37.2704,2,Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-Regional,"On 21 February 2025, Russian air forces struck multiple Ukrainian units, including marines (coded here) and national guard (coded to Toretsk), some near Myrnohrad, Donetsk. According to Russian sources, the Ukrainian military lost up to 375 soldiers near Shcherbynivka, Myrnohrad, Toretsk, Udachne, Uspenivka, Novoandriivka, Andriivka [Russian MoD reported 375 fatalities. Coded as 10 fatalities across 7 events. 2 fatalities coded here].",2,,1740519993
UKR208696,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Russia (2000-) Air Force,,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Slovianska,Slovyansk,48.8533,37.6065,2,Ministry of Defence of Russia,Regional,"On 21 February 2025, Russian air forces struck multiple Ukrainian units, including international legion (coded to Chasiv Yar), some near Slovyansk, Donetsk. According to Russian sources, the Ukrainian military lost up to 220 soldiers near Siversk, Riznykivka, Slovyansk, Vasyukivka, Kramatorsk, Novomarkove, Bilokuzmynivka, Chasiv Yar, Stupochky, Kostiantynivka, Ulakly [Russian MoD reported 220 fatalities. Coded as 10 fatalities across 11 events. 1 fatality coded here].",1,,1740519993
UKR208716,2025-02-21,2025,1,Political violence,Battles,Non-state actor overtakes territory,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Luhansk,Svativskyi,Krasnorichenska,Novoliubivka,49.1555,37.9502,1,Ministry of Defence of Russia,Regional,"On 21 February 2025, according to Russian forces, following an armed clash with the Ukrainian military, Russian forces seized Novoliubivka, Luhansk. Casualties unknown.",0,,1740519993
UKR208719,2025-02-21,2025,1,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),,External/Other forces,Military Forces of Ukraine (2019-),,State forces,State forces-External/Other forces,,804,Europe,Ukraine,Donetsk,Volnovaskyi,Velykonovosilkivska,Andriivka,48.0216,37.0568,2,Ministry of Defence of Russia; Ministry of Defence of Ukraine,Other-Regional,"On 21 February 2025, Russian and Ukrainian military forces clashed near Andriivka, Donetsk. Russian forces hit (likely by artillery as the most common event) multiple Ukrainian units, including marines (coded to Myrnohrad) and national guard (coded to Toretsk), some near Andriivka. According to Russian sources, the Ukrainian military lost up to 375 soldiers near Shcherbynivka, Myrnohrad, Toretsk, Udachne, Uspenivka, Novoandriivka, Andriivka [Russian MoD reported 375 fatalities. Coded as 10 fatalities across 7 events. 1 fatality coded here]. The Russian military lost 245 soldiers, 141 of them irreversible (coded as fatalities), near Vodiane Druhe, Yelyzavetivka, Svyrydonivka, Promin, Pishchane, Serhiivka, Andriivka, Ulakly, Udachne, Nadiivka and Molodetske (141 fatalities split across 11 events and coded as 12. Overall fatalities for this event coded as 13).",13,,1740519993
UKR208720,2025-02-21,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Russia (2000-),,External/Other forces,,,,External/Other forces only,,804,Europe,Ukraine,Kherson,Khersonskyi,Khersonska,Antonivka,46.6799,32.6925,1,Suspilne Media,National,"On 21 February 2025, Russian military forces hit (likely by artillery as the most common event) Antonivka, Kherson. Casualties unknown.",0,,1740519993
