mine,mineLabel,mineral,mineralLabel,coordinates,lon,lat,country,countryLabel
http://www.wikidata.org/entity/Q67078754,Novi Majdan mine,http://www.wikidata.org/entity/Q677,iron,Point(18.310402 44.70517),18.310402,44.70517,,
http://www.wikidata.org/entity/Q67079817,Busovača mine,http://www.wikidata.org/entity/Q677,iron,Point(17.880317 44.097494),17.880317,44.097494,,
http://www.wikidata.org/entity/Q67079822,Žeravica mine,http://www.wikidata.org/entity/Q677,iron,Point(17.254681 45.125714),17.254681,45.125714,,
http://www.wikidata.org/entity/Q67078525,Sidirokastro mine,http://www.wikidata.org/entity/Q1090,silver,Point(23.393837 41.217993),23.393837,41.217993,,
http://www.wikidata.org/entity/Q5064991,Cerro Vanguardia Mine,http://www.wikidata.org/entity/Q1090,silver,Point(-68.26361111 -48.38583333),-68.26361111,-48.38583333,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q16002110,Agua Rica mine,http://www.wikidata.org/entity/Q1090,silver,Point(-66.31277778 -27.37333333),-66.31277778,-27.37333333,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q16976610,Manantial Espejo mine,http://www.wikidata.org/entity/Q1090,silver,Point(-69.5 -48.76666667),-69.5,-48.76666667,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q24451553,Q24451553,http://www.wikidata.org/entity/Q1090,silver,Point(-66.815555555 -24.364166666),-66.815555555,-24.364166666,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q25407086,Q25407086,http://www.wikidata.org/entity/Q1090,silver,Point(-69.178611111 -47.2875),-69.178611111,-47.2875,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q25412399,Q25412399,http://www.wikidata.org/entity/Q1090,silver,Point(-68.82 -42.415),-68.82,-42.415,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q29583300,Proyecto Chinchillas,http://www.wikidata.org/entity/Q1090,silver,Point(-66.256388888 -22.504444444),-66.256388888,-22.504444444,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q21503401,Q21503401,http://www.wikidata.org/entity/Q1090,silver,Point(-70.639166666 -37.184166666),-70.639166666,-37.184166666,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q21573855,Q21573855,http://www.wikidata.org/entity/Q1090,silver,Point(-70.2975 -46.6675),-70.2975,-46.6675,http://www.wikidata.org/entity/Q414,Argentina
http://www.wikidata.org/entity/Q68403566,Cairn Hill mine,http://www.wikidata.org/entity/Q677,iron,Point(135.1 -29.3),135.1,-29.3,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q1473809,Olympic Dam mine,http://www.wikidata.org/entity/Q1090,silver,Point(136.867 -30.4444),136.867,-30.4444,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q1534991,Golden Grove Mine,http://www.wikidata.org/entity/Q1090,silver,Point(116.95 -28.7333),116.95,-28.7333,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q2112806,Prominent Hill Mine,http://www.wikidata.org/entity/Q1090,silver,Point(135.583 -29.7194),135.583,-29.7194,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q5063175,Century Mine,http://www.wikidata.org/entity/Q1090,silver,Point(138.6075 -18.72555556),138.6075,-18.72555556,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q7640657,Sunny Corner,http://www.wikidata.org/entity/Q1090,silver,Point(149.8844444 -33.381666666),149.8844444,-33.381666666,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q7991801,Wheal Watkins,http://www.wikidata.org/entity/Q1090,silver,Point(138.655447222 -34.961722222),138.655447222,-34.961722222,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q12053658,Broken Hill ore deposit,http://www.wikidata.org/entity/Q1090,silver,Point(141.45 -31.95),141.45,-31.95,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q12100817,George Fisher mine,http://www.wikidata.org/entity/Q1090,silver,Point(139.475 -20.5706),139.475,-20.5706,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q12100817,George Fisher mine,http://www.wikidata.org/entity/Q1090,silver,Point(139.475 -20.5503),139.475,-20.5503,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q12109576,Cannington Mine,http://www.wikidata.org/entity/Q1090,silver,Point(140.907 -21.8564),140.907,-21.8564,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q13218165,McArthur River zinc mine,http://www.wikidata.org/entity/Q1090,silver,Point(136.077 -16.4263),136.077,-16.4263,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q16966054,Wonawinta mine,http://www.wikidata.org/entity/Q1090,silver,Point(145.73944444 -32.23638889),145.73944444,-32.23638889,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q6921438,Mount Isa Mines,http://www.wikidata.org/entity/Q1090,silver,Point(139.476 -20.7161),139.476,-20.7161,http://www.wikidata.org/entity/Q408,Australia
http://www.wikidata.org/entity/Q6922260,Mount Morgan Mine,http://www.wikidata.org/entity/Q1090,silver,Point(150.375 -23.6411),150.375,-23.6411,http://www.wikidata.org/entity/Q408,Australia
